vote date,original question,original question,coded options
1916-12-14 00:00:00,TO ELECT THE PRESIDENT PRO TEMPERE.  VOTES FOR HON. W. SAULSBURY (D.) ARE CODED AS ONE; FOR HON. J.H. GALLINGER (R.) AS TWO; FOR HON. M.E. CLAPP (R.) AS FIVE.  (P. 319-1).,TO ELECT THE PRESIDENT PRO TEMPERE. (P. 319-1).,1:HON. W. SAULSBURY (D.);2:HON. J.H. GALLINGER (R.);5:HON. M.E. CLAPP (R.)
1917-04-02 00:00:00,"ON ELECTION OF A SERGEANT-AT-ARMS FOR THE HOUSE OF THE 65TH CONGRESS. CANDIDATES WERE ROBERT B. GORDON OF OHIO, AND JOSEPH G. ROGERS OF PENNSYLVANIA; ROBERT B. GORDON WAS ELECTED SERGEANT-AT-ARMS.  VOTES FOR GORDON ARE CODED 1, FOR RODGERS, 2.","ON ELECTION OF A SERGEANT-AT-ARMS FOR THE HOUSE OF THE 65TH CONGRESS. CANDIDATES WERE ROBERT B. GORDON OF OHIO, AND JOSEPH G. ROGERS OF PENNSYLVANIA; ROBERT B. GORDON WAS ELECTED SERGEANT-AT-ARMS.",1:GORDON;2:RODGERS
1917-04-02 00:00:00,"ON ELECTION, OF THE CLERK OF THE HOUSE FOR THE 65TH CONGRESS; CANDIDATES WERE SOUTH TRIMBLE OF KENTUCKY, AND WILLIAM TYLER PAGE OF MARYLAND; SOUTH TRIMBLE WAS ELECTED CLERK.  VOTES FOR TRIMBLE ARE CODED 1, FOR PAGE, 2.","ON ELECTION, OF THE CLERK OF THE HOUSE FOR THE 65TH CONGRESS; CANDIDATES WERE SOUTH TRIMBLE OF KENTUCKY, AND WILLIAM TYLER PAGE OF MARYLAND; SOUTH TRIMBLE WAS ELECTED CLERK.",1:TRIMBLE;2:PAGE
1917-04-02 00:00:00,"TO ELECT THE SPEAKER OF THE HOUSE FOR THE 65TH CONGRESS; CHAMP CLARK (D-MO.), NOMINATED BY THOMAS D. SCHOLL (R- MINN.), 217 VOTES; JAMES R. MANN (R-ILL.), NOMINATED BY WILLIAM S. GREENE (R-MASS.), 205 VOTES: CHAMP CLARK WAS ELECTED SPEAKER.  VOTES FOR CLARK ARE CODED 1, FOR MANN, 2; OTHERS AND ""PRESENT"" ARE CODED 8.","TO ELECT THE SPEAKER OF THE HOUSE FOR THE 65TH CONGRESS; CHAMP CLARK (D-MO.), NOMINATED BY THOMAS D. SCHOLL (R- MINN.), 217 VOTES; JAMES R. MANN (R-ILL.), NOMINATED BY WILLIAM S. GREENE (R-MASS.), 205 VOTES: CHAMP CLARK WAS ELECTED SPEAKER.",1:CLARK;2:MANN;8:OTHERS/PRESENT
1917-04-02 00:00:00,"ON ELECTION OF THE POSTMASTER FOR THE HOUSE OF THE 65TH CONGRESS; CANDIDATES WERE WILLIAM M. DUNBAR OF GEORGIA, AND LAWRENCE LYONS OF INDIANA.  WILLIAM M . DUNBAR WAS ELECTED POSTMASTER.  VOTES FOR DUNBAR ARE CODED 1, FOR LYONS, 2.","ON ELECTION OF THE POSTMASTER FOR THE HOUSE OF THE 65TH CONGRESS; CANDIDATES WERE WILLIAM M. DUNBAR OF GEORGIA, AND LAWRENCE LYONS OF INDIANA. WILLIAM M . DUNBAR WAS ELECTED POSTMASTER.",1:DUNBAR;2:LYONS
1917-04-02 00:00:00,"ON ELECTION OF THE DOORKEEPER FOR THE HOUSE OF THE 65TH CONGRESS; CANDIDATES WERE JOSEPH J. SINNOTT OF VIRGINIA, AND BERT W. KENNEDY OF MICHIGAN.  JOSEPH J. SINNOTT WAS ELECTED DOORKEEPER.  VOTES FOR SINNOTT ARE CODED 1, FOR KENNEDY, 2.","ON ELECTION OF THE DOORKEEPER FOR THE HOUSE OF THE 65TH CONGRESS; CANDIDATES WERE JOSEPH J. SINNOTT OF VIRGINIA, AND BERT W. KENNEDY OF MICHIGAN. JOSEPH J. SINNOTT WAS ELECTED DOORKEEPER.",1:SINNOTT;2:KENNEDY
1919-05-19 00:00:00,TO ELECT A SPEAKER OF THE HOUSE.  VOTES FOR F.H. GILLETT ARE CODED AS 2.  VOTES FOR CHAMP CLARK ARE CODED AS 1.,TO ELECT A SPEAKER OF THE HOUSE.,1:CHAMP CLARK;2:F.H. GILLETT
1921-04-11 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE.  VOTES FOR CLAUDE KITCHIN, (DEM.) ARE CODED 1.  VOTES FOR FREDERICK H. GILLETT (REP.) ARE CODED 2.",TO ELECT A SPEAKER OF THE HOUSE.,"1:CLAUDE KITCHIN, (DEM.);2:FREDERICK H. GILLETT (REP.)"
1923-12-03 00:00:00,"TO ELECT A SPEAKER FOR  THE 68TH CONGRESS.  FREDERICK GILLETT, (R) RECEIVED 197 VOTES, FINIS J. GARRETT (D) RECEIVED 195 VOTES, HENRY A. COOPER (R) RECEIVED 17 VOTES, AND MARTIN B. MADDEN RECEIVED 5 VOTES.  VOTES FOR GILLETT ARE CODED 2, GARRETT 1, COOPER 5, AND MADDEN 6.  NO NOMINEE RECEIVED A MAJORITY OF THE VOTES CAST, SO NO CHOICE WAS MADE.","TO ELECT A SPEAKER FOR THE 68TH CONGRESS. FREDERICK GILLETT, (R) RECEIVED 197 VOTES, FINIS J. GARRETT (D) RECEIVED 195 VOTES, HENRY A. COOPER (R) RECEIVED 17 VOTES, AND MARTIN B. MADDEN RECEIVED 5 VOTES. NO NOMINEE RECEIVED A MAJORITY OF THE VOTES CAST, SO NO CHOICE WAS MADE.",1:GARRETT;2:GILLETT;5:COOPER;6:MADDEN 6. 
1923-12-10 00:00:00,TO ELECT A CHAIRMAN OF THE COMMITTEE ON INTERSTATE COMMERCE FOR THE 68TH CONGRESS. VOTES FOR ALBERT B. CUMMINS ARE CODED AS 1; FOR ELLISON D. SMITH AS 2; FOR OTHERS AS 8.  (P. 156).,TO ELECT A CHAIRMAN OF THE COMMITTEE ON INTERSTATE COMMERCE FOR THE 68TH CONGRESS. (P. 156).,1:ALBERT B. CUMMINS;2:ELLISON D. SMITH;8:OTHERS
1923-12-17 00:00:00,"TO ELECT THE CHAIRMAN OF THE COMMITTEE ON INTERSTATE COMMERCE.  VOTES FOR A. CUMMINS ARE CODED AS 1, FOR E.D. SMITH, AS 2.  (P. 327-1).",TO ELECT THE CHAIRMAN OF THE COMMITTEE ON INTERSTATE COMMERCE. (P. 327-1).,1:A. CUMMINS;2:E.D. SMITH
1925-12-07 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE.  VOTES FOR NICOLAS LONGWORTH (REPUBLICAN) ARE CODED 2, VOTES FOR FINIS J. GARRET (DEMOCRAT) ARE CODED 1,  VOTES FOR HENRY A COOPER (REPUBLICAN) ARE CODED 5. (P.379-2).",TO ELECT A SPEAKER OF THE HOUSE. (P.379-2).,1:FINIS J. GARRET (DEMOCRAT);2:NICOLAS LONGWORTH (REPUBLICAN);5:HENRY A COOPER (REPUBLICAN)
1927-12-05 00:00:00,"TO ELECT A SPEAKER FOR THE 70TH HOUSE; NICHOLAS LONGWORTH (REP) VERSUS FINIS J. GARRETT (DEM.). VOTES FOR LONGWORTH ARE CODED 2, FOR GARRETT, 1.",TO ELECT A SPEAKER FOR THE 70TH HOUSE; NICHOLAS LONGWORTH (REP) VERSUS FINIS J. GARRETT (DEM.).,1:GARRETT;2:LONGWORTH
1929-04-15 00:00:00,TO ELECT A SPEAKER OF THE HOUSE.  VOTES FOR NICHOLAS LONGWORTH (REP) ARE CODED 2; VOTES FOR JOHN N. GARNER (DEM) ARE CODED 1.  (J P. 3-2).,TO ELECT A SPEAKER OF THE HOUSE. (J P. 3-2).,1:JOHN N. GARNER (DEM);2:NICHOLAS LONGWORTH (REP)
1931-12-07 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE; CANDIDATES WERE J.N. GARNER, CODED 1; B.H. SNELL, CODED 2; G.J. SCHNEIDER, CODED 5.",TO ELECT A SPEAKER OF THE HOUSE.,1:J.N. GARNER;2:B.H. SNELL;5:G.J. SCHNEIDER.
1931-12-08 00:00:00,"TO ELECT A PRES. PRO-TEM OF THE SENATE TO PRESIDE DURING THE ABSENCE OF THE VICE-PRESIDENT. VOTES FOR KEY PITTMAN ARE CODED 1, FOR GEORGE MOSES, 2, FOR GEORGE NORRIS ,8 FOR CHAS. MCNARY, 8, FOR WESLEY JONES, 8, NO SENATOR HAVING RECEIVED A MAJORITY, NO CHOICE WAS MADE.","TO ELECT A PRES. PRO-TEM OF THE SENATE TO PRESIDE DURING THE ABSENCE OF THE VICE-PRESIDENT. NO SENATOR HAVING RECEIVED A MAJORITY, NO CHOICE WAS MADE.",1:KEY PITTMAN;2:GEORGE MOSES;8:GEORGE NORRIS/CHAS. MCNARY/WESLEY JONES
1932-01-04 00:00:00,TO ELECT A PRESIDENT PRO-TEM. VOTES FOR KEY PITTMAN ARE CODED AS 1; FOR GEORGE MOSES AS 2; FOR A. VANDENBURG AS 8. (P. 1197-2).,TO ELECT A PRESIDENT PRO-TEM. (P. 1197-2).,1:KEY PITTMAN;2:GEORGE MOSES;8:A. VANDENBURG
1933-03-09 00:00:00,TO ELECT THE SPEAKER OF THE HOUSE.  VOTES FOR RAINEY (DEM) ARE CODED 1; VOTES FOR SNELL (REP) ARE CODED 2; VOTES FOR KVALE(FL) ARE CODED 5.,TO ELECT THE SPEAKER OF THE HOUSE.,1:RAINEY (DEM);2:SNELL (REP);5:KVALE(FL)
1935-01-03 00:00:00,"ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES J.W. BYRNS (DEM.), B.H. SNELL (REP.), G.J. SCHNEIDER (PROG.), AND W.P. LAMBERTSON (REP.).  THEY ARE CODED BYRNS (1), SNELL (2), SCHNEIDER (5), AND LAMBERTSON (6).","ELECTION OF SPEAKER OF HOUSE OF REPRESENTATIVES J.W. BYRNS (DEM.), B.H. SNELL (REP.), G.J. SCHNEIDER (PROG.), AND W.P. LAMBERTSON (REP.).",1:BYRNS;2:SNELL;5:SCHNEIDER;6:LAMBERTSON
1969-01-03 00:00:00,TO ELECT A SPEAKER OF THE HOUSE FOR THE 91ST CONGRESS VOTES FOR JOHN MC CORMACK (D) ARE CODED 1.  VOTES FOR GERALD FORD (R) ARE CODED 2.,TO ELECT A SPEAKER OF THE HOUSE FOR THE 91ST CONGRESS.,1:JOHN MC CORMACK (D);2:GERALD FORD (R)
1971-01-21 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE OF REPRESENTATIVES FOR THE 92ND CONGRESS.  VOTES FOR ALBERT ARE CODED 1, FOR FORD,2.",TO ELECT A SPEAKER OF THE HOUSE OF REPRESENTATIVES FOR THE 92ND CONGRESS.,1:ALBERT;2:FORD
1975-01-14 00:00:00,"TO ELECT A SPEAKER OF THE HOUSE.  VOTES FOR CARL ALBERT, DEM ARE CODED (1) VOTES FOR JOHN RHODES (R) ARE CODED (6).",TO ELECT A SPEAKER OF THE HOUSE.,"1:CARL ALBERT, DEM;6:JOHN RHODES (R)"
1977-01-04 00:00:00,"TO ELECT AS SPEAKER OF THE HOUSE EITHER THOMAS P. O'NEILL,JR. (D,MA) OR JOHN J. RHODES (R,AZ).  (VOTES FOR O'NEILL ARE CODED 1;THOSE FOR RHODES ARE 6.).","TO ELECT AS SPEAKER OF THE HOUSE EITHER THOMAS P. O'NEILL,JR. (D,MA) OR JOHN J. RHODES (R,AZ).",1:O'NEILL;6:RHODES
1983-01-03 00:00:00,"TO ELECT EITHER DEMOCRAT THOMAS O'NEILL OR REPUBLICAN ROBERT MICHEL TO BE THE SPEAKER OF THE HOUSE.  (O'NEILL ELECTED) VOTES FOR O'NEILL ARE CODED ""1""; VOTES FOR MICHEL ARE CODED ""6"".",TO ELECT EITHER DEMOCRAT THOMAS O'NEILL OR REPUBLICAN ROBERT MICHEL TO BE THE SPEAKER OF THE HOUSE. (O'NEILL ELECTED).,1:O'NEILL;6:MICHEL
1987-01-06 00:00:00,TO ELECT JIM WRIGHT OF TEXAS SPEAKER OF THE HOUSE OF REPRESENTATIVES OVER ROBERT H MICHEL OF ILLINOIS. A 'YEA' VOTE IS CODED '1' AND A 'NAY' VOTE IS CODED '6'.,TO ELECT JIM WRIGHT OF TEXAS SPEAKER OF THE HOUSE OF REPRESENTATIVES OVER ROBERT H MICHEL OF ILLINOIS.,1:YEA;6:NAY
